HTSUS,Articles of Civil Aircraft only,Description,Descrição
4704.11.00,,"Chemical woodpulp, sulfite, other than dissolving grades, of unbleached coniferous wood","Woodpulp químico, sulfito, exceto graus de dissolução, de madeira de coníferas não branqueadas"
4704.19.00,,"Chemical woodpulp, sulfite, other than dissolving grades, of unbleached nonconiferous wood","Woodpulp químico, sulfito, exceto graus de dissolução, de madeira não -convencional não branqueada"
4704.21.00,,"Chemical woodpulp, sulfite, other than dissolving grades, of semibleached or bleached coniferous wood","Woodpulp químico, sulfito, exceto graus de dissolução, de madeira de coníferas semi -branqueada ou branqueada"
4704.29.00,,"Chemical woodpulp, sulfite, other than dissolving grades, of semibleached or bleached nonconiferous wood","Woodpulp químico, sulfito, exceto graus de dissolução, de madeira não -coneal semi -branqueada ou branqueada"
4705.00.00,,Semichemical woodpulp,Woodpulp semicêmico
4706.10.00,,Cotton linters pulp,Linters de algodão Mulp
4706.20.00,,Pulps of fibers derived from recovered (waste and scrap) paper or paperboard,Polpas de fibras derivadas de papel recuperado (resíduos e sucata) ou papelão
4706.30.00,,"Pulps of fibrous cellulosic material, of bamboo","Polpas de material celulósico fibroso, de bambu"
4706.91.00,,"Pulps of fibrous cellulosic material, mechanical","Polpas de material celulósico fibroso, mecânico"
4706.92.01,,"Pulps of fibrous cellulosic material, chemical","Polpas de material celulósico fibroso, químico"
4706.93.01,,"Pulps of fibrous cellulosic material, semichemical","Polpas de material celulósico fibroso, semicêmico"
4823.90.10,*,"Articles of paper pulp, nesoi","Artigos de polpa de papel, nesoi"
4823.90.20,*,"Articles of papier-mâché, nesoi","Artigos de Papier-Moché, nesoi"
4823.90.31,*,"Cards of paper or paperboard, nesoi, not punched, for punchcard machines, whether or not in strips","Cartões de papel ou papelão, nesoi, não perfurados, para máquinas Punchcard, seja ou não em tiras ou não"
4823.90.40,*,Frames or mounts for photographic slides of paper or paperboard,Molduras ou montagens para slides fotográficos de papel ou papelão
4823.90.50,*,Hand fans of paper or paperboard,Hand fãs de papel ou papelão
4823.90.60,*,"Gaskets, washers and other seals of coated paper or paperboard","Juntas, arruelas e outros selos de papel revestido ou papelão"
4823.90.67,*,"Coated paper or paperboard, nesoi","Papel revestido ou papelão, nesoi"
4823.90.70,*,"Articles of cellulose wadding, nesoi","Artigos de Wadding de celulose, NESOI"
4823.90.80,*,"Gaskets, washers and other seals of paper, paperboard and webs of cellulose fibers, nesoi","Juntas, arruelas e outros selos de papel, papelão e teias de fibras de celulose, nesoi"
4823.90.86,*,"Articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibers, nesoi","Artigos de polpa de papel, papel, papelão, wadding de celulose ou teias de fibras de celulose, nesoi"
5607.21.00,,Binder or baler twine of sisal or other textile fibers of the genus Agave,Binder ou barbante de fibras de sisal ou outras fibras têxteis do gênero Agave
6802.99.00,,"Worked monumental or building stone, nesoi","Trabalhou monumental ou em pedra, nesoi"
6812.80.90,*,"Articles or mixtures of crocidolite, nesoi","Artigos ou misturas de crocidolito, nesoi"
6812.99.10,*,"Paper, millboard and felt of asbestos, other than crocidolite","Papel, moinho e feltro de amianto, exceto o crocidolito"
6812.99.20,*,"Compressed asbestos (other than crocidolite) fiber jointing, in sheets or rolls","Amianto comprimido (exceto a junta de fibra de crocidolita), em folhas ou rolos"
6812.99.90,*,"Articles of mixtures of or with a basis of asbestos, nesoi, other than crocidolite","Artigos de misturas de ou com uma base de amianto, nesoi, exceto o crocidolito"
6813.20.00,*,"Friction material and articles thereof, not mounted, containing asbestos","Material de atrito e seus artigos, não montados, contendo amianto"
6813.81.00,*,"Brake linings and pads, not containing asbestos","Forros de freio e almofadas, não contendo amianto"
6813.89.00,*,"Friction material and articles thereof, not mounted, not containing asbestos, nesoi","Material de atrito e seus artigos, não montados, não contendo amianto, nesoi"
7007.21.11,*,"Laminated safety glass windshields, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels","Brejos de vidro de segurança laminados, de tamanho e forma adequados para incorporação em veículos, aeronaves, naves espaciais ou embarcações"
7106.91.10,,Silver bullion and dore,Bedra de Prata e Dore
7108.12.10,,"Gold, nonmonetary, bullion and dore","Ouro, não -monetário, barro e Dore"
7201.10.00,,Nonalloy pig iron containing by weight 0.5% or less of phosphorus,"Ferro de porco não -liga contendo em peso 0,5% ou menos de fósforo"
7201.20.00,,Nonalloy pig iron containing by weight more than 0.5% of phosphorus,"Ferro de porco não -liga contendo em peso superior a 0,5% de fósforo"
7201.50.30,,"Alloy pig iron in pigs, blocks or other primary forms","Ferro de porco de liga em porcos, blocos ou outras formas primárias"
7201.50.60,,"Spiegeleisen in pigs, blocks or other primary forms","Spiegeleisen em porcos, blocos ou outras formas primárias"
7202.60.00,,Ferronickel,Ferronickel
7202.93.40,,"Ferroniobium, containing by weight less than 0.02% of phosphorus or sulfur or less than 0.4% of silicon","Ferroniobium, contendo em peso menor que 0,02% de fósforo ou enxofre ou menos de 0,4% do silício"
7202.93.80,,"Ferroniobium, other","Ferroniobium, outro"
7203.10.00,,Ferrous products obtained by direct reduction of iron ore,Produtos ferrosos obtidos por redução direta de minério de ferro
7203.90.00,,"Spongy ferrous products, in lumps, pellets or like forms; iron of a minimum purity by weight of 99.94% in lumps, pellets or like forms","Produtos esponjosos ferrosos, em caroços, pellets ou formas semelhantes; ferro de uma pureza mínima em peso de 99,94% em caroços, pellets ou formulários semelhantes"
7304.31.30,*,"Iron (other than cast) or nonalloy steel, seamless, cold-drawn or cold-rolled, hollow bars with circular cross section","Ferro (exceto o elenco) ou aço não-liga, sem costura, desenhado a frio ou as barras ocas com seção transversal circulares com seção transversal"
7304.31.60,*,"Iron (other than cast) or nonalloy steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi","Ferro (exceto o elenco) ou aço não-liga, sem costura, desenhado a frio ou laminados a frio, tubos, tubos e perfis ocos, com seção transversal circular, nesoi"
7304.39.00,*,"Iron (other than cast) or nonalloy steel, seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi","Ferro (exceto o elenco) ou aço não-liga, sem costura, não desenhado a frio ou laminados a frio, tubos, tubos e perfis ocos, com seção transversal circular, nesoi"
7304.41.30,*,"Stainless steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section and external diameter of less than 19mm","Aço inoxidável, sem costura, desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular e diâmetro externo de menos de 19 mm"
7304.41.60,*,"Stainless steel, seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section and external diameter of 19mm or more","Aço inoxidável, sem costura, desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular e diâmetro externo de 19 mm ou mais"
7304.49.00,*,"Stainless steel, seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section","Aço inoxidável, sem costura, não desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular"
7304.51.10,*,"Alloy steel (other than stainless), seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for manufacture of ball or roller bearings","Aço de liga (exceto a aço inoxidável), sem costura, desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular, para fabricação de rolamentos de bola ou rolo"
7304.51.50,*,"Alloy steel (other than stainless), seamless, cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi","Aço de liga (exceto a aço inoxidável), sem costura, desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular, nesoi"
7304.59.10,*,"Alloy steel (other than stainless), seamless, not old-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for manufacture of ball or roller bearings","Aço de liga (exceto a aço inoxidável), sem costura, não envelhecido ou com lamas a frio, tubos, tubos e perfis ocos, com seção transversal circular, para fabricação de rolamentos de bola ou rolos"
7304.59.20,*,"Alloy steel (other than stainless), seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, for boilers, heaters, etc.","Aço de liga (exceto a aço inoxidável), sem costura, não desenhado a frio ou laminados a frio, tubos, tubos e perfis ocos, com seção transversal circular, para caldeiras, aquecedores, etc."
7304.59.60,*,"Heat-resisting alloy steel (other than stainless), seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi","Aço de liga resistente ao calor (exceto a aço inoxidável), sem costura, não desenhado a frio ou a frio, tubos, tubos e perfis ocos, com seção transversal circular, nesoi"
7304.59.80,*,"Alloy steel (other than heat-resist or stainless), seamless, not cold-drawn or cold-rolled, tubes, pipes and hollow profiles, with circular cross section, nesoi","Aço de liga (exceto resistente ao calor ou inoxidável), sem costura, não desenhado a frio ou laminados a frio, tubos, tubos e perfis ocos, com seção transversal circular, nesoi"
7304.90.10,*,"Iron (other than cast) or nonalloy steel, seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of 4 mm or more","Ferro (exceto o fundido) ou aço não -liga, sem costura, tubos, tubos e perfis ocos, exceto seção transversal circular, com espessura da parede de 4 mm ou mais"
7304.90.30,*,"Alloy steel (other than stainless), seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of 4 mm or more","Aço de liga (exceto a aço inoxidável), sem costura, tubos, tubos e perfis ocos, exceto seção transversal circular, com espessura da parede de 4 mm ou mais"
7304.90.50,*,"Iron (other than cast) or nonalloy steel, seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of less than 4 mm","Ferro (exceto o elenco) ou aço não -liga, sem costura, tubos, tubos e perfis ocos, exceto seção transversal circular, com espessura da parede inferior a 4 mm"
7304.90.70,*,"Alloy steel (other than stainless), seamless, tubes, pipes and hollow profiles, other than circular cross section, with wall thickness of less than 4 mm","Aço de liga (exceto a aço inoxidável), sem costura, tubos, tubos e perfis ocos, exceto seção transversal circular, com espessura da parede inferior a 4 mm"
7306.30.10,*,"Iron or nonalloy steel, welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of less than 1.65 mm","Ferro ou aço não -liga, soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede inferior a 1,65 mm"
7306.30.30,*,"Nonalloy steel, welded, with circular cross-section and external diameter 406.4mm or less, tapered pipes and tubes, with wall thickness of 1.65 mm+, principally used as parts of illuminating articles","Aço não-liga, soldado, com seção transversal circular e diâmetro externo 406,4 mm ou menos, tubos e tubos cônicos, com espessura da parede de 1,65 mm+, usados principalmente como partes de artigos de esclarecimento"
7306.30.50,*,"Iron or nonalloy steel, welded, with circular cross section and external diameter of 406.4mm or less, pipes, tubes and hollow profiles, with wall thickness of 1.65 mm or more","Ferro ou aço não -liga, soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede de 1,65 mm ou mais"
7306.40.10,*,"Stainless steel, welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of less than 1.65 mm","Aço inoxidável, soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede inferior a 1,65 mm"
7306.40.50,*,"Stainless steel, welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of 1.65 mm or more","Aço inoxidável, soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede de 1,65 mm ou mais"
7306.50.10,*,"Alloy steel (other than stainless), welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of less than 1.65 mm","Aço de liga (exceto a aço inoxidável), soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede inferior a 1,65 mm"
7306.50.30,*,"Alloy steel (other than stainless), welded, with circular cross section and external diameter 406.4mm or less, tapered pipes and tubes, with wall thickness of 1.65 mm+, principally used as parts of illuminating articles","Aço de liga (exceto a aço inoxidável), soldado, com seção transversal circular e diâmetro externo 406,4 mm ou menos, tubos e tubos cônicos, com espessura da parede de 1,65 mm+, usados principalmente como partes de artigos de iluminação"
7306.50.50,*,"Alloy steel (other than stainless), welded, with circular cross section and external diameter of 406.4mm or less, tubes, pipes and hollow profiles, with wall thickness of 1.65 mm+","Aço de liga (exceto a aço inoxidável), soldado, com seção transversal circular e diâmetro externo de 406,4 mm ou menos, tubos, tubos e perfis ocos, com espessura da parede de 1,65 mm+"
7306.61.10,*,"Iron or nonalloy steel, welded, with square or rectangular cross section, tubes, pipes and hollow profiles, with wall thickness of 4 mm or more","Ferro ou aço não -liga, soldado, com seção transversal quadrada ou retangular, tubos, tubos e perfis ocos, com espessura da parede de 4 mm ou mais"
7306.61.30,*,"Alloy steel, welded, with square or rectangular cross section, tubes, pipes and hollow profiles, with wall thickness of 4 mm or more","Aço de liga, soldado, com seção transversal quadrada ou retangular, tubos, tubos e perfis ocos, com espessura da parede de 4 mm ou mais"
7306.61.50,*,"Iron or nonalloy steel, welded, with square or rectangular cross section, tubes, pipes and hollow profiles, with wall thickness of less than 4 mm","Ferro ou aço não -liga, soldado, com seção transversal quadrada ou retangular, tubos, tubos e perfis ocos, com espessura da parede inferior a 4 mm"
7306.61.70,*,"Alloy steel, welded, with square or rectangular cross section, tubes, pipes and hollow profiles, with wall thickness of less than 4 mm","Aço de liga, soldado, com seção transversal quadrada ou retangular, tubos, tubos e perfis ocos, com espessura da parede inferior a 4 mm"
7306.69.10,*,"Iron or nonalloy steel, welded, with other non-circular cross section, tubes, pipes and hollow profiles, with wall thickness of 4 mm or more","Ferro ou aço não-liga, soldado, com outra seção transversal não circular, tubos, tubos e perfis ocos, com espessura da parede de 4 mm ou mais"
7306.69.30,*,"Alloy steel, welded, with other non-circular cross-section, tubes, pipes and hollow profiles, with wall thickness of 4 mm or more","Aço de liga, soldado, com outras seções transversais não circulares, tubos, tubos e perfis ocos, com espessura da parede de 4 mm ou mais"
7306.69.50,*,"Iron or nonalloy steel, welded, with other non-circular cross section, tubes, pipes and hollow profiles, with wall thickness of less than 4 mm","Ferro ou aço não-liga, soldado, com outra seção transversal não circular, tubos, tubos e perfis ocos, com espessura da parede inferior a 4 mm"
7306.69.70,*,"Alloy steel, welded, with other non-circular cross section, tubes, pipes and hollow profiles, with wall thickness of less than 4 mm","Aço de liga, soldado, com outra seção transversal não circular, tubos, tubos e perfis ocos, com espessura da parede inferior a 4 mm"
7312.10.05,*,"Stainless steel, stranded wire, not electrically insulated, fitted with fittings or made up into articles","Aço inoxidável, arame encalhado, não isolado eletricamente, equipado com acessórios ou compensado em artigos"
7312.10.10,*,"Stainless steel, stranded wire, not electrically insulated, not fitted with fittings or made up into articles","Aço inoxidável, arame encalhado, não isolados eletricamente, não equipados com acessórios ou formados em artigos"
7312.10.20,*,"Iron or steel (other than stainless), stranded wire, not electrically insulated, fitted with fittings or made up into articles","Ferro ou aço (exceto a aço inoxidável), arame preso, não isolado eletricamente, equipado com acessórios ou compensado em artigos"
7312.10.30,*,"Iron or steel (other than stainless), stranded wire, not electrically insulated, not fitted with fittings or made up into articles","Ferro ou aço (exceto a aço inoxidável), arame encalhado, não isolado eletricamente, não equipado com acessórios ou formados em artigos"
7312.10.50,*,"Stainless steel, ropes, cables and cordage (other than stranded wire), not electrically insulated, fitted with fittings or made up into articles","Aço inoxidável, cordas, cabos e cordas (exceto o fio preso), não isolados eletricamente, equipados com acessórios ou compensados em artigos"
7312.10.60,*,"Stainless steel, ropes, cables and cordage (other than stranded wire), not electrically insulated, not fitted with fittings or made up into articles","Aço inoxidável, cordas, cabos e cordas (exceto o fio preso), não isolados eletricamente, não equipados com acessórios ou compensados em artigos"
7312.10.70,*,"Iron or steel (other than stainless), ropes, cables and cordage (other than stranded wire), not electrically insulated, fitted with fittings or made up into articles","Ferro ou aço (exceto a aço inoxidável), cordas, cabos e cordas (exceto o fio não isolado eletricamente, equipados com acessórios ou formados em artigos"
7312.10.80,*,"Iron or steel (other than stainless), ropes, cables and cordage, of brass plated wire (other than stranded wire), not electrically insulated, without fittings or arts.","Ferro ou aço (exceto a aço inoxidável), cordas, cabos e cabos, de fio banhado a latão (exceto o fio não isolado eletricamente, sem acessórios ou artes."
7312.10.90,*,"Iron or steel (other than stainless), ropes, cables and cordage, other than of brass plate wire (other than stranded wire), not electrically insulated, without fittings etc.","Ferro ou aço (exceto a aço inoxidável), cordas, cabos e cordas, exceto o fio da placa de latão (exceto o fio preso), não isolados eletricamente, sem acessórios etc."
7312.90.00,*,"Iron or steel (other than stainless), plaited bands, slings and the like, not electrically insulated","Ferro ou aço (exceto a aço inoxidável), faixas entalhadas, estilos e similares, não isolados eletricamente"
7322.90.00,*,"Iron or steel, non-electrically heated air heaters and hot air distributors with motor driven fan or blower and parts thereof","Ferro ou aço, aquecedores de ar não eletricamente aquecidos e distribuidores de ar quente com ventilador acionado por motor ou soprador e peças"
7324.10.00,*,"Stainless steel, sinks and wash basins","Aço inoxidável, pias e bacias de lavagem"
7324.90.00,*,"Iron or steel, sanitary ware (other than baths or stainless steel sinks and wash basins) and parts thereof","Ferro ou aço, louça sanitária (exceto banhos ou pias de aço inoxidável e bacias de lavagem) e partes dela"
7326.20.00,*,"Iron or steel, articles of wire, nesoi","Ferro ou aço, artigos de arame, nesoi"
7413.00.90,*,"Copper, stranded wire, cables, plaited bands and the like, not electrically insulated, fitted with fittings or made up into articles","Cobre, arame encalhado, cabos, faixas e similares, não isolados eletricamente, equipados com acessórios ou formados em artigos"
7608.10.00,*,"Tubes and pipes, aluminum, not alloyed","Tubos e tubos, alumínio, não ligados"
7608.20.00,*,"Tubes and pipes, of aluminum alloys","Tubos e tubos, de ligas de alumínio"
8002.00.00,,Tin waste and scrap,Resíduos de lata e sucata
8108.90.60,*,"Wrought titanium, nesoi","Titânio forjado, Nesoi"
8302.10.60,*,"Iron or steel, aluminum, or zinc hinges and base metal parts thereof, not designed for motor vehicles","Ferras de ferro ou aço, alumínio ou dobradiças de zinco e peças de metal base, não projetadas para veículos a motor"
8302.10.90,*,Base metal (other than iron or steel or aluminum or zinc) hinges and base metal parts thereof,Metal de base (exceto o ferro ou aço ou alumínio ou zinco) dobradiças e peças de metal base
8302.20.00,*,Base metal castors and base metal parts thereof,Recebedores de metal base e peças de metal base
8302.42.30,*,"Iron or steel, aluminum, or zinc mountings, fittings and similar articles, suitable for furniture, and base metal parts thereof","Ferro ou aço, alumínio ou montagem de zinco, acessórios e artigos similares, adequados para móveis e peças de metal base dela"
8302.42.60,*,"Base metal (other than iron or steel or aluminum or zinc) mountings, fittings and similar articles, suitable for furniture, and base metal parts thereof","Metal de base (exceto o ferro ou aço ou alumínio ou zinco), acessórios e artigos similares, adequados para móveis e peças de metal base dela"
8302.49.40,*,"Base metal harness, saddlery or riding-bridle hardware, not coated or plated with precious metal, and base metal parts thereof","Arnês de metal base, sela ou hardware de rodovias, não revestido ou banhado com metal precioso e peças de metal base dela"
8302.49.60,*,"Iron or steel, aluminum, or zinc, mountings, fittings and similar articles nesoi, and base metal parts thereof","Ferro ou aço, alumínio ou zinco, montagens, acessórios e artigos similares nesoi e peças de metal base"
8302.49.80,*,"Base metal (other than iron or steel or aluminum or zinc) mountings, fittings and similar articles nesoi, and base metal parts thereof","Metal de base (exceto o ferro ou aço ou alumínio ou zinco), acessórios e artigos similares nesoi, e peças de metal base dela"
8302.60.30,*,Base metal automatic door closers,Closões automáticos de porta de metal base
8307.10.30,*,"Iron or steel flexible tubing, with fittings","Tubos flexíveis de ferro ou aço, com acessórios"
8307.90.30,*,"Base metal (other than iron or steel) flexible tubing, with fittings","Metal de base (exceto o ferro ou aço) tubulação flexível, com acessórios"
8407.10.00,*,Spark-ignition reciprocating or rotary internal combustion piston engines for use in aircraft,Motores de pistão de combustão interna de ignição por faísca ou rotativo para uso em aeronaves
8408.90.90,*,"Compression-ignition internal combustion piston engines, for machinery or equipment, nesoi","Motores de pistão de combustão interna de compressão, para máquinas ou equipamentos, nesoi"
8409.10.00,*,Parts for internal combustion aircraft engines,Peças para motores de aeronaves de combustão interna
8411.11.40,*,Aircraft turbojets of a thrust not exceeding 25 kN,Turbojets de aeronaves de um impulso não excedendo 25 kN
8411.11.80,*,"Turbojets of a thrust not exceeding 25 kN, other than aircraft","Turbojets de um impulso não excedendo 25 kN, exceto aeronaves"
8411.12.40,*,Aircraft turbojets of a thrust exceeding 25 kN,Turbojes de aeronaves de um impulso superior a 25 kN
8411.12.80,*,"Turbojets of a thrust exceeding 25 kN, other than aircraft","Turbojets de um impulso superior a 25 kN, exceto aeronaves"
8411.21.40,*,"Aircraft turbopropellers of a power not exceeding 1,100 kW",Turboproplers de aeronaves de um poder não superior a 1.100 kW
8411.21.80,*,"Turbopropellers of a power not exceeding 1,100 kW, other than aircraft","Turboproplers de um poder não superior a 1.100 kW, exceto aeronaves"
8411.22.40,*,"Aircraft turbopropellers of a power exceeding 1,100 kW",Turboproplers de aeronaves de uma energia superior a 1.100 kW
8411.22.80,*,"Turbopropellers of a power exceeding 1,100 kW, other than aircraft","Turboproplers de uma energia superior a 1.100 kW, exceto aeronaves"
8411.81.40,*,"Aircraft gas turbines other than turbojets or turbopropellers, of a power not exceeding 5,000 kW","Turbinas a gás de aeronaves que não sejam turbojatos ou turboproplers, de um poder não superior a 5.000 kW"
8411.82.40,*,"Aircraft gas turbines other than turbojets or turbopropellers, of a power exceeding 5,000 kW","Turbinas a gás de aeronaves que não sejam turbojatos ou turboproplers, de uma energia superior a 5.000 kW"
8411.91.10,*,"Cast-iron parts of turbojets or turbopropellers, not advanced beyond cleaning, machined only for removal of fins, gates, sprues and risers, or to permit location in machinery","Partes de ferro fundido de turbojatos ou turboproplers, não avançados além da limpeza, usinados apenas para remoção de barbatanas, portões, sprues e risers, ou para permitir localização em máquinas"
8411.91.90,*,Parts of turbojets or turbopropellers other than those of subheading 8411.91.10,Partes de turbojatos ou turboproplers que não sejam as de subtítulo 8411.91.10
8411.99.10,*,"Cast-iron parts of gas turbines nesoi, not advanced beyond cleaning, and machined only for removal of fins, gates, sprues and risers","Partes de ferro fundido das turbinas a gás Nsoi, não avançadas além da limpeza e usinadas apenas para remoção de barbatanas, portões, sprues e risers"
8411.99.90,*,"Parts of gas turbines nesoi, other than those of subheading 8411.99.10","Partes de turbinas a gás nesoi, exceto as de subtítulo 8411.99.10"
8412.10.00,*,Reaction engines other than turbojets,Motores de reação que não sejam turbojes
8412.21.00,*,"Hydraulic power engines and motors, linear acting (cylinders)","Motores e motores hidráulicos, atuação linear (cilindros)"
8412.29.40,*,Hydrojet engines for marine propulsion,Motores hidrojet para propulsão marinha
8412.29.80,*,"Hydraulic power engines and motors, nesoi",Motores e motores hidráulicos
8412.31.00,*,"Pneumatic power engines and motors, linear acting (cylinders)","Motores de poder pneumático e motores, atuação linear (cilindros)"
8412.39.00,*,"Pneumatic power engines and motors, other than linear acting","Motores e motores de poder pneumáticos, além de atuação linear"
8412.80.10,*,Spring-operated and weight-operated motors,Motores operados e operados pela primavera
8412.80.90,*,"Engines and motors, nesoi (excluding motors of heading 8501)","Motores e motores, nesoi (excluindo motores do cabeçalho 8501)"
8412.90.90,*,Parts for engines of heading 8412 other than hydrojet engines for marine propulsion,"Peças para motores de título 8412, exceto os motores hidrojetes para propulsão marinha"
8413.19.00,*,"Pumps for liquids fitted or designed to be fitted with a measuring device, nesoi","Bombas para líquidos ajustados ou projetados para serem equipados com um dispositivo de medição, NESOI"
8413.20.00,*,"Hand pumps other than those of subheading 8413.11 or 8413.19, not fitted with a measuring device","Bombas manuais diferentes das de subtítulo 8413.11 ou 8413.19, não equipadas com um dispositivo de medição"
8413.30.10,*,"Fuel-injection pumps for compression-ignition engines, not fitted with a measuring device","Bombas de injeção de combustível para motores de compressão-ignição, não equipados com um dispositivo de medição"
8413.30.90,*,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines, not fitted with a measuring device, nesoi","Bombas médias de combustível, lubrificação ou resfriamento para motores de pistão de combustão interna, não equipados com um dispositivo de medição, nesoi"
8413.50.00,*,"Reciprocating positive displacement pumps for liquids, not fitted with a measuring device, nesoi","Bombas de deslocamento positivo retribuído para líquidos, não equipados com um dispositivo de medição, nesoi"
8413.60.00,*,"Rotary positive displacement pumps for liquids, not fitted with a measuring device, nesoi","Bombas de deslocamento positivo rotativo para líquidos, não equipados com um dispositivo de medição, nesoi"
8413.70.10,*,"Stock centrifugal pumps imported for use with machines for making cellulosic pulp, paper or paperboard, not fitted with a measuring device","Bombas centrífugas de estoque importadas para uso com máquinas para fabricar polpa, papel ou tabuleiro celulósico, não equipado com um dispositivo de medição"
8413.70.20,*,"Centrifugal pumps for liquids, not fitted with a measuring device, nesoi","Bombas centrífugas para líquidos, não equipados com um dispositivo de medição, nesoi"
8413.81.00,*,"Pumps for liquids, not fitted with a measuring device, nesoi","Bombas para líquidos, não equipados com um dispositivo de medição, nesoi"
8413.91.10,*,Parts of fuel-injection pumps for compression-ignition engines,Partes de bombas de injeção de combustível para motores de compressão-ignição
8413.91.20,*,"Parts of stock pumps imported for use with machines for making cellulosic pulp, paper or paperboard","Partes das bombas de estoque importadas para uso com máquinas para fabricar polpa celulósica, papel ou papelão"
8413.91.90,*,"Parts of pumps, nesoi","Partes de bombas, nesoi"
8414.10.00,*,Vacuum pumps,Bombas a vácuo
8414.20.00,*,Hand-operated or foot-operated air pumps,Bombas de ar operadas por pés ou de pé
8414.30.40,*,Compressors of a kind used in refrigerating equipment (including air conditioning) not exceeding 1/4 horsepower,Compressores de um tipo usado em equipamentos de refrigeração (incluindo ar condicionado) não excedendo 1/4 de potência
8414.30.80,*,Compressors of a kind used in refrigerating equipment (including air conditioning) exceeding 1/4 horsepower,Compressores de um tipo usado em equipamentos de refrigeração (incluindo ar condicionado) excedendo 1/4 de potência
8414.51.30,*,"Ceiling fans for permanent installation, with a self-contained electric motor of an output not exceeding 125 W","Ventiladores de teto para instalação permanente, com um motor elétrico independente de uma saída que não exceda 125 W"
8414.51.90,*,"Table, floor, wall, window or roof fans, with a self-contained electric motor of an output not exceeding 125 W","Tabela, piso, parede, janela ou teto, com um motor elétrico independente de uma saída que não exceda 125 W"
8414.59.30,*,Turbocharger and supercharger fans,Turbocomalimentador e fãs de superalimentadores
8414.59.65,*,"Other fans, nesoi","Outros fãs, nesoi"
8414.80.05,*,Turbocharger and supercharger air compressors,Compressores de ar turbocomales e supercharger
8414.80.16,*,"Air compressors, nesoi","Compressores de ar, nesoi"
8414.80.20,*,"Gas compressors, nesoi","Compressores de gás, NESOI"
8414.80.90,*,"Air or gas pumps, compressors and fans, nesoi","Bombas de ar ou gás, compressores e ventiladores, nesoi"
8414.90.10,*,Parts of fans (including blowers) and ventilating or recycling hoods,Partes dos fãs (incluindo sopradores) e capuzes de ventilação ou reciclagem
8414.90.30,*,Stators and rotors of goods of subheading 8414.30,Estatores e rotores de mercadorias de subposição 8414.30
8414.90.41,*,"Parts of air or gas compressors, nesoi","Partes de compressores de ar ou gás, nesoi"
8414.90.91,*,"Parts of air or vacuum pumps, ventilating or recycling hoods, gas-tight biological safety cabinets","Partes de bombas de ar ou a vácuo, capuzes de ventilação ou reciclagem, armários de segurança biológica à prova de gás"
8415.10.60,*,"Window or wall type air conditioning machines, split-system, incorporating a refrigerating unit and valve for reversal of cooling/heat cycle","Máquinas de ar condicionado do tipo de janela ou parede, sistema dividido, incorporando uma unidade de refrigeração e válvula para reversão do ciclo de resfriamento/calor"
8415.10.90,*,"Window or wall type air conditioning machines, split-system, nesoi","Máquinas de ar condicionado do tipo de janela ou parede, sistema dividido, nesoi"
